,bassa,french
1805,"Inyu ti Nwet niñ lipém, ba bé lama keñgle liboñok jo ki jo li bé le li hubus niñ i bôt bap ba libôk.","Pour honorer l’Auteur de la vie, ils devaient absolument éviter toute action ou toute négligence qui pouvait mettre la vie des autres en danger."
1806,"Ñôma Pétrô a nti bikristen bi bôda maéba le ba suhus bomede isi balôm bap, inyu boñ ‘le to ibale bahogi ba nôgôl bé bañga i Nyambe, wee bihiumul bi baa bap bi yoña bo ibabé bañga i Nyambe, lakii ba ntehe bihiumul binan bi gwé bé nsohi ni njôôñ lipém.’","L’apôtre Pierre recommande aux chrétiennes d’être soumises à leur mari, afin que, si quelques-uns n’obéissent pas à la parole, ils soient gagnés sans parole grâce à la conduite de leurs femmes, parce qu’ils auront été témoins oculaires de [leur] conduite pure ainsi que d’un profond respect ."
1808,Bimbe bisai ba bi kôhna?,Quelles bénédictions ont- ils reçues ?
1809,Ba mbéna boma boñge ba wanda ba ba yé batééda mintômba ba ngwañ mut le Nabal.,Ils croisent souvent les jeunes hommes qui gardent les troupeaux du riche Nabal.
1811,"Inyuki bilôk bikéé bi bi gwé minkwel i likoda, bi nlama noñ mabéhna di nléba i kaat 1 Korintô 14:40?",Pourquoi les frères qui ont des participations aux réunions devraient- ils mettre en pratique 1 Corinthiens 14:40 ?
1812,"Bebek le ba nla ki badba le, ‘kii me nla boñ inyu pamba?’",Peut-être même se demanderont- ils : Que dois- je faire pour être sauvé ?
1813,"To he homa bôt ba yiine, ngéda i ntina bo le ba tehe nseñ i yi nje a bi hek ngii ni hisi, lelaa b’a nôgôl matiñ mé ni unda gwéha inyu mut wap libôk.","Où qu’ils se trouvent, les humains peuvent démontrer s’ils se soucient de savoir qui a créé les cieux et la terre, s’ils veulent respecter les lois de ce Créateur et aimer leur prochain."
1814,Ba bi waa boñ sômbôl i Djob:,Ils ont cessé de faire la volonté de Dieu :
1816,"Inyuki Bibel i nkal le Yésu a yé pôôna Nyambe, nu a nene bé?",Pourquoi la Bible dit- elle que Jésus est l’image du Dieu invisible ?
1817,"Bititii ni bifôtô bi bikaat gwés bi yé gwom le ba ñôt, ndi ha bifôtô bôt ba njôôñ yi ba nléba bé.","Les dessins et les peintures utilisés dans nos publications pour le représenter ne sont que des vues d’artistes, pas des images basées sur des faits archéologiques."
1818,Baa u ntehe yo i titii?,Tu la vois sur l’image ?
1819,"Jam di nsébél hana le bititii bi malal, li ntihba i ni i, i mbéñge bititii, matila, makiñ, tole gwom gwobisôna bi mbôña inyu ti ngôñ malal.","Le terme pornographie tel qu’il est employé ici désigne la représentation de situations érotiques destinées à provoquer une excitation sexuelle, au moyen d’images, d’écrits ou de paroles."
1820,"Baa i man nkwel nunu a pôdlak bilem bi tôbôtôbô bi Nyambe, kiki ngui yé, pék yé, telepsép yé ni gwéha yé, a nhôla we i bana loñge nogna inyu yi limbe libak Djob a gwé?",Cet aperçu des principales qualités de Dieu
1821,"Béñge bititii bi bi nyuñgus nyuu, i nla kena i nyega malal tole i ndéñg.",Regarder des images suggestives peut rendre dépendant à la pornographie ou mener à l’immoralité.
1822,Djob a nkal le u nlama bé gwélél bisat to bititii inyu bégés nye.,Mais Dieu défend d’utiliser des idoles ou des images dans le culte.
1823,Ndi bon ba Lôk Héber baa,"Cependant, trois Hébreux"
1824,"Ngôñ i unda le me bé lôs munlôm kiki bisinima bi bé tinde bés, i bi lôôha yoña me.",J’étais très influencé par l’image que les films et mon milieu social donnaient de l’homme.
1825,"Bon ba Israél ba témb ba bôdôl boñ yom i bé béba i mis ma Yéhôva, ba bôdôl gwélél bi baal, ni bi ôñgba bi Astôret, ni mob ma Siria, ni mob ma sidôn, ni mob ma Môab, ni mob ma bon ba Ammôn, ni mob ma lôk Filistia.","Les fils d’Israël firent de nouveau ce qui est mauvais aux yeux de Jéhovah ; ils se mirent à servir les Baals et les images d’Ashtoreth, les dieux de Syrie, les dieux de Sidon, les dieux de Moab, les dieux des fils d’Ammôn et les dieux des Philistins."
1826,Didun di ñôôp bisu bi bititii bi bi gwé bé niñ.,Des millions d’entre eux s’agenouillent devant des images sans vie.
1827,Baa u ntehe hingonda hini i titii?,Tu vois la petite fille sur l’image ?
1828,Adam a bi héga i ôñgba Nyambe.,Adam a été créé à l’image de Dieu .
1829,"Kiki hihéga, ibale mis moñ ma nkwo ngi kôôba ngii bititii bibe, pala héa mo mu, lém nkuu biyi , tole héñha bititii bi nkuu biliñge liñge.","Par exemple, si vous tombez par inadvertance sur des images érotiques, détournez rapidement le regard, éteignez l’ordinateur ou changez de chaîne."
1830,"Bet ba mbéñge bititii bi malal ba yé ba yik bana lem i yônôs ngôñ yap malal botama, ba bak nyonok ni ngôñ ndéñg, ba yé ba yila kiki minkol mi ndéñg, ba ban-ga mahoñol ma nyega, ni mindañ ikété mabii map, tole ba yé ba sôk bos.","Ceux qui regardent des images pornographiques deviennent parfois des masturbateurs invétérés qui nourrissent des désirs sexuels honteux , ce qui peut les conduire à une dépendance au sexe, à des inclinations perverses, à de graves désaccords conjugaux, et même au divorce *."
1831,"M’ma a bé kôs bikaat bi ntoñol Bibel, me gwéhég mam ma bé ntilga mu ngandak, téntén bititii.","Ma mère avait reçu des publications bibliques, et j’étais captivé par leur contenu, surtout par les images."
1832,Béñge sii mañge munlôm i titii.,Regarde le petit garçon sur l’image.
1833,Bisat ni bititii bi nla bé hôla bés.,Les idoles et les images ne peuvent nous venir en aide.
1835,Bisat gwab ni bititii gwab bi ga tjiba.,Les idoles et les images seront détruites.
1836,"Inyu boñ le u kôhna bañga nseñ, u nlama añ bipes bi bikaat bi Bibel bi bi yé i pañ libim li bititii.","Pour en profiter au maximum, il vous faudra lire les textes bibliques qui sont imprimés en regard de la plupart des images."
1837,"Kwéha base i niiga bé maliga inyu Djob, ba heñlak biniigana bi Bañga yé.",La fausse religion donne de Dieu une image erronée et déforme les enseignements de sa Parole.
1838,"Yéhôva a ngwés le bôt ba pôdôs nye, ha ôñgba to titii bé, inyule bi gwé bé niñ.","Jéhovah veut que les hommes lui parlent à lui, et non pas à une statue ou à une image, qui n’ont pas de vie ."
1839,"Mbañ inyu soso ôñgba, ni mbôm e, bi ñéba le Ane Yéhôva i yé bebee i sas bibéba gwobisôna, y’a énél ki hisi.",Les prophéties de la grande image et de l’arbre immense sont la garantie que le royaume de Jéhovah va bientôt supprimer la méchanceté et gouverner la terre.
1840,Gwéha yap ni ôa yap ni njôñ yap bi mal wo.,Leur amour et leur haine et leur jalousie ont déjà péri .
1841,"Pilatô a nsômbôl nwas Yésu, inyule a nok le njôñ yon i ntinde biprisi i lona Yésu bisu gwé.","Pilate ne demande qu’à relâcher Jésus, car il a compris que c’est par jalousie que les prêtres le lui ont livré."
1842,Lelaa di nla boñ le njôñ i kéñ bañ bés i kôhna bom?,b) Que faire pour que la jalousie ne nous enlève pas le prix ?
1843,"Ha ni nyen Pénina a nkônde ngôgôp inyu hôñlaha Hana libak jé li kom muda kayéle Hana a nsôk a bôô maéya, a nimis yak ngôñ je.","Jalouse, Peninna la traite alors tellement de haut, lui rappelant sa stérilité, que la pauvre Hanna fond en larmes et qu’elle n’a plus d’appétit."
1844,Lôkisañ i bi nuñul nye i minkôm inyule i bé kil nye njôñ.,"Par jalousie, ses frères l’ont vendu en esclavage."
1845,Mimañ mi bôt mi nlama yoñ matat le mi kil bañ njohok lôk kéé njôñ.,Les plus âgés doivent rejeter la jalousie.
1846,"Ndémbél i Samuel i nhôñlaha bés le kekikel, di kil bañ mut njôñ, to téédana nye hiun mukété miñem nwés","Comme Samuel, ne laissons jamais la jalousie ou l’amertume s’enraciner en nous."
1847,"Dihéga dibe, ti di yé ikété Bibel, di nhôñlaha bés le njôñ i nla boñ le di nimis bom yés.",La jalousie peut nous enlever le prix.
1848,"I len ini, ntôñ u Yéhôva u ntéé bikwéha bi bôt inyu ti maéba, minhôôlak mi bikristen mi neebe maéba ma, mi biak ki mo bisélél.","De nos jours, l’organisation de Jéhovah charge des hommes imparfaits de donner des conseils, et les chrétiens mûrs acceptent volontiers ces remarques et les mettent en application."
1849,I yén péé i pes mbuu munu masuk ma ngéda,Reste spirituellement éveillé durant les derniers jours
1850,"I len ini, bôt bahogi ba ñôm Bibel nsohi le ñañ u pééna i hikôa hi Karmel u mbep mal.","De nos jours, des commentateurs de la Bible critiquent le dénouement de cette épreuve sur le mont Carmel."
1851,"A bi kal le: Kiki i ba dilo di Nôa, hala ki nyen malôl ma Man mut [tole dilo di nsôk] m’a ba.","Il a dit : De même que furent les jours de Noé, ainsi sera la présence du Fils de l’homme [les derniers jours]."
1852,"U wada, a naña ngand, a sébél yom kiki bo hikôô hi bôt bakeñi.","Un jour, il a invité à une fête 1 000 personnes très importantes du pays."
1854,Nano a yé dilo daa le Natanael a nyila wada mu banigil ba Yésu.,Cela fait maintenant trois jours que Nathanaël est devenu l’un des premiers disciples de Jésus.
1855,Kii di nyi inyu dilo di nsôk?,Que savons- nous sur les derniers jours ?
1856,"Bebee le 17 nwii mi bi tagbe ibôdôl nu Yésu a bééna 12 nwii, a badak baéga bibase mambadga i témpel.","Dix-sept ans ont passé depuis le jour où Jésus, âgé de 12 ans, a interrogé les enseignants dans le Temple."
1857,"Mbus 52 ma dilo, bôlô i mapénd ni i manwemel i bi mal.",La muraille et les portes ont été terminées en seulement 52 jours.
1858,"Ndi hilo hi nyônôs isaambok, ba bi kiiña tison ngélé isaambok.","Le septième jour, ils ont marché sept fois autour de la ville."
1859,Inoñnaga ni kii ba ga kéés bôt i hilo hi nsôk?,En fonction de quoi les gens seront- ils jugés au dernier jour ?
1860,"Kel yada, Saulô a nimis wongut yé, a sem i sesema Samuel a lamga sem.","Un jour, il s’impatiente et offre un sacrifice à la place du prophète."
1861,"Inyu hala nyen, boñ biliya gwoñ gwobisôna inyu yén bebee ni Yéhôva Djob ni ntôñ wé munu mangéda mabe ma nsôk mana!","Alors surtout, fais tout ton possible pour rester proche de lui et de son organisation durant ces derniers jours éprouvants !"
1862,"I len ini, i ti bésbomede nkikip yak Yéhôva ni kôs sôble bi mbat le di yén i homa Yéhôva a nsôô bés","De nos jours, l’offrande de soi et le baptême sont nécessaires pour habiter dans le lieu secret de Jéhovah."
1863,Litédél jés ni lisolbene jés.,Je fuis vers toi au jour de la détresse.
1864,Yésu a bi bôk pot le ngandak bôt i ga boñ wengoñle ba ntehe bé mam ma ñunda le di niñil i dilo di nsôk.,Jésus a annoncé que beaucoup de gens refuseraient de voir les preuves que nous vivons les derniers jours.
1865,"Imbe ngéda hilo hi Nwet hi bi bôdôl, kii i bi tagbe i mbus?","Quand le jour du Seigneur a- t- il commencé, et que s’est- il passé ensuite ?"
1866,"Di bé gwés bôt ba Afrika iloo héga, di bodok ñem le d’a tiimba lo.",Nous nous étions attachés aux Africains et espérions revenir un jour.
1867,"I mbus, a mbat le: Ibale ni nkwee mut i kel sabat kayéle ni bôk bañ mbén Môsi, inyuki ni nlôôha unbene me inyule me mélés mut kon wé wonsôna i kel sabat?","Puis il demande : Si un homme reçoit la circoncision un jour de sabbat afin que la Loi de Moïse soit respectée, pourquoi cette explosion de colère contre moi parce que j’ai guéri complètement un homme un jour de sabbat ?"
1868,"Banigil ba bé i tuñ i ngii, ba ga hôya bé kel i.",Les disciples dans cette maison à Jérusalem n’oublieraient jamais ce jour.
1869,Ngéda biyônôl bi mbagi i añgel i mpôdôl i nsébla ki le hilo hi Yéhôva.,L’époque de l’exécution du jugement dont parle l’ange est aussi appelée le jour de Jéhovah .
1870,"Marta, nu a nsélés boña kiki lem, a mpala kal le mim u nlama numb inyule hala a yé dilo dina nano le Lasarô a bi wo.","Marthe, qui comme d’habitude a l’esprit pratique, fait remarquer que le corps doit sentir, quatre jours après le décès."
1871,Jon wan Bitilna hi kel inyu boñ le ‘wemede nyen u léba maliga.’,"Alors, trouve- la par toi- même en examinant soigneusement les Écritures chaque jour ."
1872,"Yésu a mpôdôl tison i, a nkélél yo le: I kogse y’a kwél Sôdôm i Hilo hi Mbagi y’a hoi iloo i kogse y’a kwél we.",Jésus annonce donc à cette ville : Je te dis qu’au jour du Jugement ce sera plus facile à supporter pour Sodome que pour toi .
1873,"Nlélém inyu milik, kiki mi nti boñge ngui mi hôlga bo i nañ, bipôdôl bi Yéhôva bi nti bés ngui, bi hôlga bés i nañ i pes mbuu.","Et tout comme le lait fortifie un enfant et favorise sa croissance, la vérité nous aide à renforcer nos relations avec Jéhovah."
1874,"Munu pes kaat i Bibel ini, Yéhôva a nhégha bañga yé ni malép, ni manyuñ tole milik, yak ni wai.","Il compare ses paroles de vérité à de l’eau, à du lait et à du vin."
1875,Nsiñga u nloñ limha: Lambe ba bé gwélél mandap i bé man séa biték nyonok ni môô ma ôlivé.,La mèche qui fume : Les lampes domestiques étaient généralement de petits récipients en terre remplis d’huile d’olive.
1876,"Ba nha bé lambe ikété sel ndi, ba mbii yo i ngii tégne lambe, i het i nla bai.","On ne met pas une lampe sous un panier, mais sur un porte-lampe, où elle peut diffuser de la lumière."
1877,"Homa Mpubhaga a bééna lambe gôl, téblé, ni juu inyu ligis binjinjiñ.","Dans le Saint, il y avait un porte-lampes en or, une table et un autel pour l’encens."
1878,"Jon, ibale nyuu yoñ yosôna i mbai, kayéle pes to yada i ta bé ikété jiibe, yosôna y’a bai kiki lambe i i nti we mapubi.","Si donc tout ton corps est lumineux, sans aucune partie obscure, il sera aussi lumineux qu’une lampe qui t’éclaire ."
1879,"Bañga yoñ i yé tungeñ i makôô mem, ni mapubi ma njel yem.",Ta parole est une lampe pour mon pied et une lumière pour mon sentier .
1880,Ba nlama béyés njel ni bilambe gwap inyu ti mbiimuda lipém mu kiki a mba a nlona mbom i ndap ba nkôôbana nye.,"Elles devront éclairer le chemin avec leurs lampes, lui rendant ainsi honneur tandis qu’il conduira son épouse à la maison préparée pour elle."
1881,"Bañga yoñ i yé tungeñ i makôô més,",Ta sainte Parole est lampe pour mon pied ;
1882,Dingonda di bé bijôñ di kal dini di bééna pék le: ‘Tina bés ndék mu môô manan inyule bilambe gwés bi yé bebee ni lém.,"Les sottes ont dit aux avisées : Donnez- nous un peu de votre huile, parce que nos lampes vont bientôt s’éteindre."
1883,"Yésu a nke ni bisu i kal le: Ha nyen dingonda di tjodisôna di bi telep, di kôôba bilambe gwap.",Jésus poursuit : Alors toutes les vierges se sont levées et ont préparé leurs lampes.
1884,Bi gwé bé môô ma kôli inyu bilambe gwap inyu hala nyen ba nlama ke yéñ mo.,"Comme elles n’ont pas assez d’huile pour leurs lampes, elles doivent essayer de s’en procurer."
1885,"A mbôdôl hihéga hié ni bibuk bini: Ane i ngii y’a ba kiki jôm li dingonda ngi yi bôlôm. Di bi yoñ bilambe gwap, di pam inyu boma mbiimuda.",Il commence ainsi : Le royaume des cieux sera comparable à dix vierges qui ont pris leurs lampes et sont sorties à la rencontre du marié.
1886,"To ibale hiañgaa hi ma nañal behee, u nkon bé woñi, inyule u gwé lambe i ngui mu woo.","Même si le soleil s’est couché depuis longtemps, vous ne vous sentez pas complètement perdu, car vous tenez une puissante lampe électrique."
1887,"I ngandak manjel, Bibel i yé kiki lambe i ba nhiômna.",La Bible est en quelque sorte comparable à cette lampe.
1888,"* Kiki malép ma nti nkôt e niñ, hala nyen bipôdôl bilam bi nlôl i tomba hilémb bi nla hôyôs miñem mi baemble.","De même que l’eau redonne vie à un arbre desséché, une parole calme dite par une langue apaisante peut redonner le moral à celui qui l’entend."
1889,Me bi yéga nye ni hop wé ligwéé.,Je l’ai donc saluée dans sa langue.
1890,"Bitelbene gwé bi ñéba le a ntôñ ndig bé bôt ba loñ yada, ndi bôt ba biloñ gwobisôna, ba matén momasôna, ni dilémb tjodisôna.","On s’aperçoit par ailleurs, en examinant ces dispositions, que son souci ne se limite pas aux membres d’une seule nation, mais s’étend à des gens de toutes nations, tribus et langues."
1891,Nnigil Bibel a nla pala hol i pes mbuu ibale u ntégbaha yigil yé i likoda tole i juu li li mpot hilémb hié.,L’étudiant progressera sans doute plus rapidement si tu transmets le cours biblique à une assemblée ou à un groupe qui parle sa langue et qui ne se trouve pas loin.
1892,"Masoda le, Bibel tole bipes gwé bi ma koblana i len ini bebee le ikété 3 000 di dilémb.","Heureusement, la Bible est maintenant traduite en totalité ou en partie dans presque 3 200 langues."
1893,Ngim boñge i nla bana ngôñ i nigil i yi Yéhôva ikété dilémb diba,Certains enfants peuvent avoir besoin d’apprendre à connaître Jéhovah dans deux langues : leur langue scolaire et celle parlée chez eux.
1894,I nla éña i len ini ikété ngandak dilémp.,Elle existe dans beaucoup de langues.
1895,Lelaa bon banan ba nla ôt nseñ i nigil hilémb hinan?,Quels bienfaits vos enfants peuvent- ils retirer à apprendre votre langue ?
1896,"Di nla ki nigil hilémb hipe, tole di ke nit libôga lipe i loñ yés, tole di ke i loñ ipe.","Nous pouvons aussi apprendre une autre langue, ou déménager dans une autre région soit dans notre pays, soit à l’étranger . w17.06 10-11 § 8-9."
1897,"I len ini, di nla yoñ Nkum Ntat i jw.org tole di gwélél JW Library inyu añ nye ikété ngandak dilémb.","Aujourd’hui, on peut télécharger La Tour de Garde depuis le site jw.org ou la lire sur l’application JW Library en de nombreuses langues."
1898,"Kiki Bibel i bôk kal, Yéhôva a yé kot limut li bôt likeñi . . . ba lôlak biloñ gwobisôna, ni mahaa momasôna, ni matén momasôna, ni dilémb tjodisôna.","Comme la Bible l’a prédit, Jéhovah est en train de rassembler une grande foule [...] de toutes nations et tribus et peuples et langues ."
1899,Ngim boñge ba wanda ba bi nigil hilémb hipe.,Des jeunes chrétiens décident d’apprendre une autre langue.
1900,Bape ba nkit le ba ga nigil hilémb hi mondo inyu kéñbaha nson wap.,Certains apprennent une langue étrangère pour étendre leur ministère.
1901,"Baéga bibase bana ba yé kiki ngwañ mut u hihéga hi Yésu nu a nkal le: A ta Abraham, kon me ngoo, u ep Lasarô le a tjak hinoo hié i malép inyu sunus hilémb hiem, inyule me nok njôghe ikété hié hikeñi hini.","Ils sont comme l’homme riche de l’exemple, qui supplie : Père Abraham, aie pitié de moi et envoie Lazare tremper le bout de son doigt dans l’eau pour me rafraîchir la langue, car je souffre dans ce feu ardent ."
1902,"Lelaa bet ba ngwel nson ikété makoda ma ma ngwélél hilémb hipe, ba nla tééda mbôô wap i pes mbuu?",Comment ceux qui servent dans une congrégation de langue étrangère peuvent- ils entretenir leur santé spirituelle ?
1903,"Di nla ki kônde le Yéhôva a nyi mahoñol ma yé bés ikété kété, ni le a ntibil ki yi hégda yosôna ni mahoñol momasôna.","Avant même qu’une parole soit sur ma langue, vois, ô Jéhovah, tu la connais déjà entièrement ."
1904,Maria Victôria: Me bi soohe Yéhôva ni ngui le a hôla me i gwel hilémb hiem.,Maria Victoria : J’ai supplié Jéhovah pour qu’il m’aide à maîtriser ma langue.
1905,Yéhôva a ñoo hilémb hi bitembee.,Jéhovah déteste une langue mensongère .
1906,Inyuki ngim boñge i ntjél nigil hop u bagwal bap?,b) Pourquoi certains enfants sont- ils réticents à apprendre la langue de leurs parents ?
1907,"Bañga i Djob i bi pei, tolakii hilémb hi libim li bôt hi bé héñha.","Ainsi, malgré les changements de langues véhiculaires, la Parole de Dieu a duré."
1908,"Ngim bagwal, i i yé bikristen, i gwelek nson i homa ba ngwélél hilémb hipe, i bi sôk léba le bon bap ba yé nimis maséé map inyu mam ma mbuu.",Certains parents servant dans une congrégation de langue étrangère se sont rendu compte que l’intérêt de leurs enfants pour la vérité diminuait.
1909,Mbadga: Baa u nyi le Mbôgi Yéhôva i nkobol bikaat gwap ikété iloo 750 dilémb?,Question : Saviez- vous que les Témoins de Jéhovah traduisent leurs publications en plus de 750 langues ?
1910,A mpot toi hilémb hiem!,Il parle ma langue !
1911,"Ni hilémb ba bi gwélél inyu tila Bibel, ini buk le emble i nla kobla ki le nôgôl.","Dans les langues originales de la Bible, le verbe écouter emporte souvent l’idée d’ obéir ."
1912,Kii u ga boñ ibale hilémb hi nkéñ we i kwel ni bon boñ?,"Que pouvez- vous faire si, dans votre famille, la langue est une barrière ?"
1913,Kii lisoñgol li Bibel li sonde ini li niiga we inyu Yéhôva?,Qu’est- ce que la lecture biblique de cette semaine t’a appris sur Jéhovah ?
1914,Imbe tik ngok i mbuu ipe u nléba ikété lisoñgol li Bibel li sonde ini?,Quelles autres perles spirituelles as- tu découvertes dans la lecture de la Bible de cette semaine ?
1915,Lisoñgol li Bibel: Yôhanes 6:41-59,Lecture de la Bible : Jean 6:41-59
1916,Kii lisoñgol li Bibel li sonde ini li niiga we inyu Yéhôva?,Qu’est- ce que la lecture de la Bible de cette semaine t’a appris sur Jéhovah ?
1917,Yoñ ngéda i hoñol lelaa i mam w’a añ tole w’a niiga ma nla lona bape bisai.,Médite sur l’utilité que ta lecture ou ton enseignement auront pour tes auditeurs.
1918,Lisoñgol li Bibel: Matéô 18:18-35,Lecture de la Bible : Mt 18:18-35
1919,Lisoñgol li Bibel: Minson 12:1-17,Lecture de la Bible : Ac 12:1-17
1920,"Baa me nyoñ bitelbene inyu sôñ bon bem ni memede le gwom bibe bihogi ba ñunda nkuu biliñgeliñge, ni bi ba ntila bikaat bi yoña bañ bés?",Est- ce que je veille à ce que mes enfants et moi soyons le moins exposés possible à certaines lectures ou émissions de télévision ?
1921,Imbe tik ngok i mbuu ipe u nléba ikété lisoñgol li Bibel li sonde ini?,Quelles autres perles spirituelles as- tu découvertes dans la lecture biblique de cette semaine ?
1922,Kii lisoñgol li sonde ini li niiga me inyu Yéhôva?,Qu’est- ce que la lecture biblique de cette semaine m’apprend sur Jéhovah ?
1923,Kii lisoñgol li Bibel li sonde ini li niiga me inyu Yéhôva?,Qu’est- ce que la lecture biblique de cette semaine m’apprend sur Jéhovah ?
1924,Jubus minlôñ mi Bibel i nya i ntinde bôt i diihe Bañga i Nyambe,Introduis la lecture d’un verset d’une façon qui encourage à respecter la Bible
1925,Lisoñgol li Bibel: Matéô 26:1-19,Lecture de la Bible : Mt 26:1-19
1926,Lisoñgol li Bibel: Lukas 22:35-53,Lecture de la Bible : Lc 22:35-53
1927,Lisoñgol li Bibel: Yésaya 36:1-12,Lecture de la Bible : Is 36:1-12
1928,Kii lisoñgol li Bibel li sonde ini li niiga me inyu Yéhôva,Qu’est- ce que la lecture biblique de cette semaine m’apprend sur Jéhovah ?
1929,Lisoñgol li Bibel: Minson 27:1-12,Lecture de la Bible : Ac 27:1-12
1930,"I LEN ini, ngandak bôt ikété nkoñ isi i nlôôha kal le i bisu bi mbén, bés bobasôna di yé sega, di bak ki kunde.","AUJOURD’HUI, on parle beaucoup d’égalité et de liberté."
1931,"Kiki di bi nigil i yigil i ntip tagbe, Yéhôva, Nhek mam momasôna, a yé mpom Mut u u gwé kunde, i i gwé bé minwaa.","Comme nous l’avons vu dans l’article précédent, Jéhovah, le Créateur de toutes choses, est le seul à posséder une liberté absolue, ou illimitée."
1932,Lelaa bikristen bi nlama tehe kunde?,Comment les chrétiens devraient- ils considérer la liberté ?
1933,Inyuki di nlama bé hégha ngap di gwé i yoñ makidik ni kunde i kit inyu yés kii i yé loñge ni kii i yé béba?,Pourquoi ne faut- il pas confondre la liberté de faire des choix avec le droit de décider ce qui est bien ou mal ?
1934,Kii i nhôla bilôk bikéé bi bôlôm ni bi bôda bini i gwélél kunde yap ni pék?,Qu’est- ce qui a aidé ces frères et sœurs à utiliser sagement leur liberté ?
1935,"Ibale di nhoñol le matiñ ma Yéhôva ma nlôôha let, tole di ntehe le i nôgôl mo i nha bés mok, kii di nla boñ?",Nous pourrions penser que c’est trop difficile d’obéir aux commandements de Jéhovah et qu’ils vont nous priver de notre liberté.
1936,"Ñwii u, u yé ngim ngéda Yéhôva a ga gwélél inyu ti bôt ba suhulnyu pôla inyu neebe nsébla wé i bana kunde",C’est une période durant laquelle Jéhovah donne aux humbles la possibilité de réagir favorablement à sa proclamation de liberté.
1937,Ndi kii i yé i ba lisuk li nya bisañ i?,b) Qu’entraînent souvent les tentatives pour obtenir plus de liberté ?
1938,"Di nti mayéga le di bi pam i yi Yéhôva, ni le di gwé kunde i nlôl ni bibégés bipubi di nti nye.",Nous sommes heureux de connaître Jéhovah et de bénéficier de la liberté que le vrai culte procure.
1939,Di unda ni njel makidik més le di ndiihe kunde i.,Montrons donc par nos choix que nous accordons de la valeur à cette liberté.
1940,Imbe ndémbél Yéhôva a nti bés mu ligwéélak jé li kunde yé?,Quel exemple Jéhovah nous donne- t- il dans l’utilisation qu’il fait de sa liberté ?
1941,"Ngeñ ba nkal hala, ba nhelel ngap mut a gwé i yoñ makidik nyemede, ni kunde i kit inyu yé nyemede kii i yé loñge, ni kii i yé béba.",Mais ce serait confondre la liberté de faire des choix avec le droit de décider ce qui est bien ou mal.
1942,Lelaa Lôk Israel i bi unda le i bé diihe bé kunde Yéhôva a bi ti bo?,Pourquoi peut- on dire que les Israélites n’ont pas su apprécier la liberté que Jéhovah leur avait accordée ?
1943,"Ngii mam momasôna, di ga nigil lelaa di nla ti Yéhôva lipém, Djob li bañga kunde.","Plus important encore, nous apprendrons comment l’utiliser pour honorer Jéhovah, le Dieu de la vraie liberté."
1944,"Baa u ngwélél kunde yoñ u gwé i pohol, inyu bugus nson Ane, tole inyu gwéñe gwoñ?","Utilises- tu ta liberté de choix pour faire progresser l’œuvre du Royaume, ou bien tes propres intérêts ?"
1945,"Inyu hala nyen, kaat ni hop Ngisi yada le The World Book Encyclopedia i nkal le: Ngéda di mbéñge ntôñ bôt u u yé ntjegek loñge, di nléba le ba yé ba noode kôlha kunde ba nti bôt ni bikila inyu boñ le bi ba kayada, to hala kii hala a ta bé bun to ndék.","L’encyclopédie déjà citée explique que toute société organisée doit avoir des lois pour protéger, mais aussi limiter, les libertés individuelles."
1946,"Ha ngéda i, bôt ba binam ba nkoñ isi wonsôna ba ga ba maséé i ba ngwélés ikété lipém kiki bon ba Nyambe.","Finalement, tous les humains sur la terre auront la liberté glorieuse des enfants de Dieu ."
1947,"Ikété nkoñ isi wonsôna, bôt ba nyéñ kunde iloo héga.","Dans le monde entier, des humains réclament plus de liberté."
1948,. Imbe kunde Yéhôva a bi ti bés?,. a) Quelle liberté Jéhovah nous donne- t- il ?
1949,"Kaat yada ni hop Ngisi le The World Book Encyclopedia, i nkobol buk ini le kunde kiki ngap i yoñ makidik, ni i yônôs mo.",Un dictionnaire définit la liberté comme la possibilité d’agir selon ses propres choix .
1950,"Yéhôva a gwé ngôñ i ti bés kunde i, iloo kiki di nla hégda.",Jéhovah souhaite vous accorder une liberté qui va bien au-delà de ce que vous pouvez imaginer.
1951,Bañga kunde i yé ngéda hiki mut a nyi minwaa nwé.,Des limites sont nécessaires pour que chacun jouisse des bienfaits de la vraie liberté.
1952,Imbe kunde Adam bo Éva ba bééna?,Quel genre de liberté Adam et Ève possédaient- ils ?
1953,"Kinje jam li ntomb i kwo mu i tjandi ti, ti di ntinde bés i bep gwélél kunde yés!",Ce serait facile de tomber dans le piège et de mal utiliser notre liberté !
1954,A bi ti babiina ba bisu gwom gwobisôna ba bééna ngôñ inyu ba maséé,"Il a donné au premier couple humain tout ce qu’il leur fallait pour être heureux, y compris la vraie liberté."
1955,Ni kee ni bisu i yén i lisolbene li Nungingii:,Demeure dans le lieu secret du Très-Haut :
1956,"Nano le Ruth a nyila Naômi bañga yé ngond, jon a nyiñil Ruth homa linôyôi, hala wee matééda ni lisolbene muda a nla kôs i ndap libii.","Naomi désire par conséquent procurer à Ruth, qui est devenue comme une fille pour elle, un lieu de repos , autrement dit la sécurité et la protection qu’offrent un foyer et un mari."
1957,"Iloole a ti ndik nye Nkum Ntat nu nsôk, mankéé nu a bi éñél nye nlôñ Bibel wada u u bé mukété.","Au lieu de seulement lui proposer le dernier numéro de La Tour de Garde, il a décidé de lui lire un verset cité dans cette revue."
